year,selling_price,km_driven,fuel,seller_type,transmission
0.9459459459459438,3000000,0.0148272198253218,Diesel,Individual,Manual
0.6756756756756772,120000,0.0381278024246162,Petrol,Individual,Manual
0.8648648648648631,700000,0.0127089850435678,Petrol,Individual,Manual
0.621621621621621,229999,0.1270936632582857,Diesel,Individual,Manual
0.9729729729729756,5400000,0.0031769285256747,Diesel,Dealer,Automatic
0.9459459459459438,3400000,0.0093198093927613,Diesel,Dealer,Automatic
0.8108108108108141,1300000,0.0247829232995658,Diesel,Dealer,Automatic
0.7837837837837824,300000,0.0466007415516323,Diesel,Individual,Manual
0.7027027027027017,120000,0.0321967450357049,Petrol,Individual,Manual
0.6486486486486527,75000,0.025418393734092,Petrol,Individual,Manual
0.567567567567572,400000,0.0395745567805542,Diesel,Dealer,Manual
0.7297297297297334,650000,0.0677830893691727,Diesel,Individual,Manual
0.8648648648648631,899000,0.0338913328611081,Diesel,Individual,Manual
0.8918918918918948,409999,0.0508372111151404,Diesel,Individual,Manual
0.8108108108108141,1650000,0.0274468153610997,Diesel,Dealer,Automatic
0.9189189189189192,425000,0.0050833398292533,Petrol,Individual,Manual
0.7837837837837824,395000,0.0207582772142331,Petrol,Individual,Manual
0.8918918918918948,300000,0.0160981606943743,Petrol,Individual,Manual
0.7567567567567579,380000,0.0338913328611081,Diesel,Individual,Manual
0.8648648648648631,380000,0.0211819241705839,Petrol,Individual,Automatic
0.8648648648648631,550000,0.0295625082611156,Petrol,Dealer,Manual
0.8108108108108141,525000,0.0239055504529633,Diesel,Dealer,Manual
0.7837837837837824,450000,0.0423642719881243,Diesel,Individual,Manual
0.8918918918918948,30000,0.0211819241705839,Petrol,Individual,Manual
0.9459459459459438,655000,0.0066643902703545,Petrol,Dealer,Automatic
0.8918918918918948,645000,0.0046596928729025,Petrol,Dealer,Automatic
0.7567567567567579,200000,0.0338913328611081,Diesel,Individual,Manual
0.7837837837837824,220000,0.0423642719881243,Petrol,Individual,Manual
0.9459459459459438,2064000,0.010167103305463,Diesel,Individual,Manual
0.8378378378378386,350000,0.0211819241705839,Diesel,Individual,Manual
0.8918918918918948,350000,0.0105907502618138,Petrol,Individual,Manual
0.9459459459459438,700000,0.0149449936791874,Diesel,Dealer,Manual
0.8378378378378386,350000,0.0271129815594952,Petrol,Individual,Manual
0.8918918918918948,775000,0.0220292180832856,Diesel,Dealer,Manual
0.9729729729729756,1100000,0.0021881365295519,Petrol,Dealer,Manual
0.8648648648648631,575000,0.0097434563491122,Diesel,Individual,Manual
0.8648648648648631,1000000,0.0563446215477009,Diesel,Individual,Manual
0.9459459459459438,585000,0.0063542806983057,Petrol,Individual,Manual
0.8378378378378386,240000,0.0711722650199791,Diesel,Individual,Manual
0.6486486486486527,215000,0.0236390765174186,Petrol,Dealer,Manual
0.8648648648648631,750000,0.0116922323483259,Petrol,Dealer,Manual
0.8648648648648631,400000,0.025418393734092,Diesel,Individual,Manual
0.9729729729729756,550000,0.0105907502618138,Petrol,Individual,Manual
0.9459459459459438,2900000,0.0063542806983057,Diesel,Dealer,Automatic
0.7837837837837824,550000,0.0508372111151404,Diesel,Individual,Manual
0.9189189189189192,725000,0.0169454546070759,Diesel,Dealer,Manual
0.8918918918918948,550000,0.0239330875051261,Petrol,Trustmark Dealer,Manual
0.8918918918918948,665000,0.2372418719094954,Diesel,Dealer,Manual
0.9189189189189192,400000,0.0211819241705839,Petrol,Individual,Manual
0.9729729729729756,675000,0.0069897511328319,Petrol,Individual,Manual
0.621621621621621,110000,0.0508372111151404,LPG,Individual,Manual
0.9729729729729756,550000,0.0169454546070759,Petrol,Individual,Manual
0.9459459459459438,1400000,0.0057332142602954,Petrol,Dealer,Manual
0.7567567567567579,500000,0.0635466198056646,Diesel,Individual,Automatic
0.9729729729729756,1925000,0.0182163954761283,Diesel,Dealer,Automatic
0.8648648648648631,315000,0.0190636893888299,Petrol,Individual,Manual
0.8648648648648631,350000,0.0211819241705839,Diesel,Individual,Manual
0.9189189189189192,669000,0.025418393734092,Diesel,Individual,Manual
0.9189189189189192,450000,0.0238466635260305,Diesel,Dealer,Manual
0.6486486486486527,72000,0.0169454546070759,Petrol,Individual,Manual
0.8378378378378386,520000,0.0347386267738098,Diesel,Individual,Manual
0.9189189189189192,3200000,0.0190636893888299,Diesel,Dealer,Automatic
0.9459459459459438,320000,0.01647944295509,Petrol,Individual,Manual
0.7837837837837824,260000,0.0194873363451807,Diesel,Individual,Manual
0.8918918918918948,575000,0.0211819241705839,Diesel,Individual,Manual
0.6486486486486527,75000,0.0228765119959872,Petrol,Individual,Manual
0.9459459459459438,270000,0.0084725154800597,Petrol,Individual,Manual
0.8378378378378386,380000,0.0211819241705839,Petrol,Individual,Manual
0.3783783783783789,50000,0.0508372111151404,Petrol,Individual,Manual
0.9459459459459438,300000,0.0044478693947271,Petrol,Individual,Manual
0.8648648648648631,565000,0.0482953293770356,Diesel,Dealer,Manual
0.8108108108108141,30000,0.0127089850435678,Petrol,Individual,Manual
0.7297297297297334,190000,0.0381278024246162,Diesel,Individual,Manual
1.0,746000,0.0004702481215493,Petrol,Dealer,Manual
0.7837837837837824,310000,0.036433214599213,Diesel,Individual,Manual
0.9459459459459438,950000,0.0058827616358873,Petrol,Individual,Manual
0.7837837837837824,480000,0.0236115394652558,Diesel,Individual,Manual
0.9189189189189192,760000,0.0381278024246162,Diesel,Individual,Manual
0.8918918918918948,650000,0.0110143972181646,Petrol,Individual,Manual
0.7837837837837824,600000,0.025418393734092,Diesel,Individual,Manual
0.7567567567567579,300000,0.0305021572103017,Diesel,Individual,Manual
0.7567567567567579,190000,0.0338913328611081,Diesel,Individual,Manual
0.8648648648648631,610000,0.0381278024246162,Diesel,Individual,Manual
