year,selling_price,km_driven,fuel,seller_type,transmission
0.8378378378378386,335000,0.011438044174515433,Petrol,Dealer,Manual
0.8108108108108141,475000,0.018216395476128338,Diesel,Dealer,Manual
0.9189189189189193,725000,0.002922740351864216,Petrol,Dealer,Manual
0.7567567567567579,285000,0.0022025405260678445,Petrol,Dealer,Manual
0.8378378378378386,459999,0.017983389650135396,Diesel,Dealer,Manual
0.9459459459459438,925000,0.00087694919964617,Diesel,Dealer,Manual
0.8648648648648631,675000,0.007962444544613414,Petrol,Dealer,Manual
0.8648648648648631,650000,0.01416167045689477,Diesel,Dealer,Manual
0.8918918918918948,875000,0.008588171099143555,Diesel,Dealer,Manual
0.8648648648648631,745000,0.01794822695275828,Diesel,Dealer,Manual
0.9189189189189193,285000,0.0009040626048526216,Petrol,Dealer,Manual
0.8648648648648631,685000,0.021605571126934793,Diesel,Dealer,Manual
0.8648648648648631,750000,0.006354280698305751,Petrol,Dealer,Automatic
0.8648648648648631,610000,0.011014397218164626,Petrol,Dealer,Manual
0.7027027027027017,225000,0.03280128924241757,Petrol,Dealer,Manual
0.8918918918918948,775000,0.018216395476128338,Diesel,Dealer,Manual
0.8648648648648631,725000,0.017656334199832573,Diesel,Dealer,Manual
0.8918918918918948,775000,0.018216395476128338,Diesel,Dealer,Manual
0.8648648648648631,325000,0.01503904330349729,CNG,Dealer,Manual
0.7297297297297334,265000,0.017556353518133783,Petrol,Dealer,Manual
0.8918918918918948,285000,0.010590750261813818,Petrol,Dealer,Manual
0.9189189189189193,490000,0.0010163290482855854,Petrol,Dealer,Manual
0.7567567567567579,440000,0.021181924170583986,Petrol,Dealer,Automatic
0.8378378378378386,250000,0.01918231053660818,Petrol,Dealer,Manual
0.8108108108108141,290000,0.024096191583321186,Petrol,Dealer,Manual
0.7567567567567579,300000,0.008472515480059785,Petrol,Dealer,Manual
0.8108108108108141,415000,0.02335862223231443,Petrol,Dealer,Manual
0.9189189189189193,600000,0.006862657045926719,Petrol,Individual,Manual
0.7297297297297334,195000,0.01886965908282128,Petrol,Dealer,Manual
0.8648648648648631,745000,0.019063689388829953,Diesel,Dealer,Manual
0.7837837837837824,310000,0.0217915521407728,Diesel,Dealer,Manual
0.7567567567567579,235000,0.022961241387257376,Petrol,Dealer,Manual
